700070 particles, 3094 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
47 2688 622711 6.683862e-02 6.957664e+02 918 1 6.957664e+02 918 3.050040 7.06e-08
48 1276 404081 6.792365e-02 9.314859e+02 1124 5 1.902081e+03 2484 3.039937 8.07e-08
49 2450 577462 5.691597e-02 9.104321e+02 798 19 9.515939e+03 9032 3.039817 8.08e-08
50 1056 366494 7.194395e-02 6.107063e+02 620 2 8.576653e+02 926 2.975327 1.86e-07
51 859 328593 5.647832e-02 9.937105e+02 889 6 2.510660e+03 2208 2.974551 1.88e-07
52 1869 489664 5.463837e-02 5.441752e+02 558 7 2.556198e+03 2581 2.962457 2.20e-07
53 922 340627 3.977723e-02 1.655932e+03 1071 16 1.287026e+04 9909 2.951530 2.52e-07
54 2442 576722 7.258998e-02 6.526482e+02 725 1 6.526482e+02 725 2.933978 3.14e-07
55 1354 416914 8.172481e-02 8.343068e+02 1072 6 2.075509e+03 2408 2.914552 4.00e-07
56 2440 576117 5.779751e-02 6.459392e+02 541 10 3.479096e+03 2840 2.899115 4.83e-07
57 1170 388831 6.098443e-02 7.405597e+02 545 11 3.539606e+03 3028 2.887504 5.56e-07
58 1127 381752 5.307503e-02 7.626747e+02 781 3 1.367700e+03 1293 2.880347 6.07e-07
59 1430 427942 4.618335e-02 9.970062e+02 566 30 1.635259e+04 12262 2.862952 7.48e-07
60 2873 656812 4.771698e-02 1.939063e+03 1532 10 6.613618e+03 5242 2.817073 1.29e-06
61 2803 642902 8.717871e-02 3.793957e+02 392 2 4.930593e+02 464 2.791977 1.72e-06
62 1951 500582 7.254896e-02 5.837233e+02 653 1 5.837233e+02 653 2.789676 1.77e-06
63 2935 669413 6.596020e-02 1.380092e+03 1392 2 1.830540e+03 1784 2.776328 2.06e-06
64 1246 400743 5.383896e-02 3.258813e+02 246 35 1.358654e+04 10758 2.767949 2.27e-06
65 1915 495388 4.647645e-02 1.190910e+03 902 15 8.875642e+03 6284 2.767872 2.27e-06
66 2037 512820 6.309657e-02 4.405262e+02 378 2 9.186535e+02 906 2.732964 3.36e-06
67 1144 383168 6.791436e-02 3.890401e+02 545 1 3.890401e+02 545 2.728750 3.52e-06
68 2542 591796 6.731642e-02 7.283531e+02 581 5 1.429966e+03 1289 2.723840 3.72e-06
69 1132 381941 5.331772e-02 8.482097e+02 575 5 2.603491e+03 2020 2.718530 3.95e-06
70 1092 374761 5.385198e-02 2.674523e+02 188 20 8.417957e+03 6606 2.703207 4.67e-06
71 745 308062 7.636176e-02 8.284226e+02 918 2 1.019861e+03 1120 2.699386 4.87e-06
72 2259 546715 6.292427e-02 1.030613e+03 1101 3 2.232855e+03 2126 2.691615 5.30e-06
73 592 278469 5.541670e-02 1.390191e+03 1393 7 3.221131e+03 3169 2.688928 5.46e-06
74 2802 642681 8.358970e-02 5.477164e+02 589 2 8.226896e+02 986 2.688613 5.48e-06
75 2238 542706 4.809339e-02 1.030818e+03 713 9 3.845306e+03 3199 2.683451 5.80e-06
76 1166 387837 5.731838e-02 4.297224e+02 408 4 2.519081e+03 2461 2.653526 7.99e-06
77 680 296693 6.958652e-02 5.123809e+02 368 10 4.680349e+03 4296 2.653228 8.02e-06
78 1384 420429 6.973638e-02 1.355256e+03 1377 8 3.564350e+03 3404 2.626755 1.06e-05
79 800 316905 9.898628e-02 3.777714e+02 552 1 3.777714e+02 552 2.619580 1.14e-05
80 495 259530 6.573043e-02 7.301314e+02 698 18 6.070285e+03 6080 2.615847 1.19e-05
81 518 263533 5.277565e-02 1.481442e+03 1195 1 1.481442e+03 1195 2.614465 1.21e-05
82 2298 551827 8.285488e-02 5.185161e+02 585 10 2.421883e+03 2558 2.600446 1.40e-05
83 1131 381939 9.436647e-02 4.964383e+02 649 2 7.561986e+02 999 2.584323 1.65e-05
84 1511 439652 8.477989e-02 5.269949e+02 671 1 5.269949e+02 671 2.575816 1.80e-05
85 651 292159 1.008447e-01 2.658775e+02 421 1 2.658775e+02 421 2.571667 1.88e-05
86 1096 375488 5.545888e-02 1.344881e+03 975 7 3.458287e+03 2742 2.563199 2.04e-05
87 357 227434 6.523762e-02 6.256257e+02 575 5 1.889387e+03 1797 2.552966 2.27e-05
88 1358 417896 6.163607e-02 3.932415e+02 365 1 3.932415e+02 365 2.547808 2.39e-05
89 403 240479 7.959373e-02 4.787479e+02 553 2 9.329876e+02 952 2.531051 2.82e-05
90 658 292768 7.421792e-02 3.971697e+02 325 5 1.887940e+03 1937 2.530806 2.83e-05
91 2329 556655 5.855235e-02 8.732915e+02 583 3 1.801195e+03 1389 2.530382 2.84e-05
92 1599 451961 6.127765e-02 1.376047e+03 1116 9 6.980862e+03 5749 2.522050 3.08e-05
93 499 260502 9.049541e-02 4.767727e+02 591 1 4.767727e+02 591 2.507153 3.57e-05
94 2783 640258 5.945160e-02 7.006708e+02 558 8 3.513484e+03 2973 2.507148 3.57e-05
95 653 292279 6.452070e-02 5.387086e+02 523 8 3.495296e+03 3785 2.488392 4.29e-05
96 1661 461270 4.630526e-02 1.035450e+03 770 1 1.035450e+03 770 2.485302 4.42e-05
97 2465 579638 6.867005e-02 7.171761e+02 567 13 4.814890e+03 4435 2.477339 4.77e-05
98 1194 393111 9.100372e-02 5.950075e+02 689 1 5.950075e+02 689 2.476363 4.82e-05
99 760 310037 6.438066e-02 3.948916e+02 296 3 1.242252e+03 1107 2.471558 5.05e-05
100 1196 393348 7.231986e-02 7.948735e+02 951 2 1.191433e+03 1312 2.469334 5.16e-05
101 1854 487452 4.406999e-02 8.752155e+02 713 1 8.752155e+02 713 2.468325 5.21e-05
102 2340 558272 7.796504e-02 4.114692e+02 419 3 6.317733e+02 660 2.461097 5.58e-05
103 2950 671583 6.557641e-02 4.652226e+02 545 7 3.357677e+03 2956 2.457613 5.77e-05
104 246 196354 5.264832e-02 1.046963e+03 1078 2 1.265069e+03 1342 2.452467 6.06e-05
105 1677 464003 4.827572e-02 1.065849e+03 1033 5 3.928044e+03 3769 2.451544 6.11e-05
106 1319 411542 4.715566e-02 8.229032e+02 711 7 4.093490e+03 3237 2.447996 6.32e-05
107 413 243031 7.301501e-02 8.524805e+02 819 4 1.941924e+03 1874 2.439114 6.87e-05
108 893 335126 6.246609e-02 5.258460e+02 389 6 2.495770e+03 2282 2.437955 6.95e-05
109 580 275800 1.123629e-01 2.881306e+02 371 1 2.881306e+02 371 2.435239 7.13e-05
110 2007 509865 1.387465e-01 2.962239e+02 367 1 2.962239e+02 367 2.434416 7.18e-05
111 95 133468 1.273662e-01 3.159664e+02 474 1 3.159664e+02 474 2.422647 8.02e-05
112 2789 641501 7.058622e-02 4.721137e+02 387 2 7.944836e+02 659 2.415502 8.58e-05
113 561 272136 6.226860e-02 1.262416e+03 1004 3 2.651637e+03 2335 2.413771 8.72e-05
114 1731 471254 6.781039e-02 2.176878e+03 1976 2 2.551608e+03 2343 2.406851 9.29e-05
115 2474 580309 9.423277e-02 4.426224e+02 543 1 4.426224e+02 543 2.403644 9.57e-05
116 389 236885 6.259981e-02 1.105843e+03 852 3 1.795198e+03 1337 2.399597 9.94e-05
117 460 251082 7.088989e-02 7.829065e+02 692 5 1.651771e+03 1564 2.399068 9.99e-05
118 1192 392677 1.003681e-01 4.331594e+02 586 2 5.295724e+02 691 2.396548 1.02e-04
119 1612 453567 7.056337e-02 4.234558e+02 332 10 3.977475e+03 3662 2.393634 1.05e-04
120 1104 377021 9.032016e-02 4.853741e+02 512 1 4.853741e+02 512 2.392806 1.06e-04
121 1481 434960 6.522386e-02 8.398476e+02 828 2 1.075513e+03 1092 2.390217 1.08e-04
122 1991 507932 9.589286e-02 3.932032e+02 440 1 3.932032e+02 440 2.389386 1.09e-04
123 1061 367259 6.704093e-02 6.672633e+02 564 3 1.178240e+03 1184 2.381843 1.17e-04
124 934 344439 5.849929e-02 7.399184e+02 654 3 1.972020e+03 2032 2.379264 1.20e-04
125 2455 578299 7.047864e-02 4.924866e+02 550 1 4.924866e+02 550 2.376684 1.23e-04
126 283 207162 9.899544e-02 6.574969e+02 995 1 6.574969e+02 995 2.374891 1.25e-04
127 2959 673835 5.553666e-02 9.180650e+02 768 2 1.389057e+03 1155 2.374426 1.25e-04
128 137 152091 6.660605e-02 6.678069e+02 536 7 2.760489e+03 2492 2.372531 1.27e-04
129 812 319850 1.143882e-01 3.585181e+02 509 2 6.823856e+02 1018 2.368847 1.32e-04
130 2532 590414 1.056524e-01 3.836466e+02 528 1 3.836466e+02 528 2.366323 1.35e-04
131 1168 388076 7.312986e-02 6.324475e+02 647 4 1.828066e+03 1965 2.359741 1.43e-04
132 489 257538 4.481640e-02 1.166882e+03 1085 2 2.074480e+03 1832 2.352842 1.52e-04
133 1779 476864 4.130631e-02 1.642633e+03 1184 3 3.715039e+03 2611 2.348874 1.58e-04
134 2138 529327 9.198162e-02 5.102421e+02 486 2 8.870858e+02 876 2.348579 1.58e-04
135 245 195950 1.284192e-01 1.951336e+02 287 1 1.951336e+02 287 2.341859 1.68e-04
136 1532 442388 5.355453e-02 1.324598e+03 1230 1 1.324598e+03 1230 2.335326 1.78e-04
137 1043 364266 5.193306e-02 6.897823e+02 483 5 2.143298e+03 1715 2.333054 1.81e-04
138 2769 636768 4.902578e-02 1.182784e+03 885 2 1.562269e+03 1289 2.331078 1.85e-04
139 1372 419394 5.708971e-02 7.829764e+02 401 4 1.211110e+03 720 2.329714 1.87e-04
140 1435 428564 7.129962e-02 8.028962e+02 531 10 3.615326e+03 3100 2.327882 1.90e-04
141 1062 367364 7.355755e-02 6.157797e+02 639 2 7.189383e+02 743 2.325304 1.94e-04
142 1318 411426 7.890076e-02 6.032857e+02 546 2 1.221699e+03 1172 2.319459 2.05e-04
143 704 300621 6.759906e-02 1.092300e+03 978 1 1.092300e+03 978 2.313870 2.15e-04
144 1556 445436 4.772271e-02 1.037901e+03 678 1 1.037901e+03 678 2.313118 2.16e-04
145 1458 431521 6.579996e-02 6.632131e+02 561 1 6.632131e+02 561 2.311778 2.19e-04
146 247 196400 7.221030e-02 9.275440e+02 987 4 1.715798e+03 1609 2.304411 2.34e-04
147 1665 461822 8.044113e-02 6.137056e+02 631 5 2.204167e+03 2206 2.303087 2.36e-04
148 1015 358726 6.571603e-02 1.382812e+03 1223 11 4.879309e+03 4027 2.300217 2.42e-04
149 1490 436265 7.006681e-02 8.586882e+02 695 7 3.073511e+03 2671 2.299664 2.43e-04
150 1667 461987 5.031843e-02 1.053270e+03 816 2 1.279870e+03 972 2.295930 2.51e-04
151 1502 438540 6.895889e-02 6.553780e+02 571 2 1.073083e+03 965 2.295172 2.53e-04
152 2633 611461 9.159768e-02 3.822884e+02 480 2 4.892171e+02 648 2.294385 2.55e-04
153 627 284967 6.349662e-02 5.813111e+02 417 1 5.813111e+02 417 2.292425 2.59e-04
154 1903 493792 6.876968e-02 7.410246e+02 555 2 8.233291e+02 615 2.277249 2.96e-04
155 2428 574211 6.240737e-02 7.022984e+02 506 8 3.594354e+03 2625 2.274185 3.03e-04
156 2917 665750 8.656246e-02 4.542397e+02 399 1 4.542397e+02 399 2.268475 3.19e-04
157 917 340091 6.011079e-02 6.887855e+02 627 2 1.169654e+03 1003 2.264711 3.29e-04
158 1167 387963 7.419604e-02 3.242053e+02 306 3 8.467203e+02 752 2.263678 3.32e-04
159 174 166773 6.120428e-02 5.201302e+02 399 1 5.201302e+02 399 2.259825 3.43e-04
160 444 247884 1.118049e-01 2.329699e+02 270 2 4.784204e+02 545 2.255590 3.56e-04
161 1950 500441 8.198355e-02 4.789904e+02 563 2 7.004133e+02 852 2.246549 3.84e-04
162 2227 541489 6.038216e-02 1.630963e+03 1554 4 2.612117e+03 2354 2.245975 3.86e-04
163 551 270054 8.604492e-02 4.054228e+02 387 3 9.402673e+02 1006 2.243003 3.96e-04
164 1907 494076 9.054682e-02 2.802184e+02 279 2 5.363230e+02 600 2.233407 4.29e-04
165 1601 452231 7.888248e-02 9.269316e+02 1027 1 9.269316e+02 1027 2.232566 4.32e-04
166 1483 435102 6.454568e-02 5.325537e+02 620 2 7.409419e+02 796 2.213155 5.08e-04
167 1871 489851 9.880003e-02 3.015321e+02 391 1 3.015321e+02 391 2.210236 5.20e-04
168 1494 436838 1.008375e-01 4.278637e+02 591 3 7.872783e+02 1088 2.208490 5.28e-04
169 1420 426623 6.987804e-02 5.430795e+02 519 2 7.207163e+02 717 2.206983 5.34e-04
170 2222 540943 6.808187e-02 4.452114e+02 337 2 5.456423e+02 440 2.195347 5.88e-04
171 1017 358844 4.494558e-02 7.663749e+02 409 3 3.008163e+03 2319 2.189016 6.19e-04
172 2504 585804 1.125908e-01 4.756921e+02 714 1 4.756921e+02 714 2.185236 6.39e-04
173 2143 529702 1.104345e-01 5.552805e+02 659 1 5.552805e+02 659 2.183817 6.46e-04
174 1485 436044 9.522406e-02 2.852942e+02 283 1 2.852942e+02 283 2.179531 6.69e-04
175 2907 663495 8.415531e-02 4.098912e+02 365 2 7.061741e+02 621 2.178149 6.77e-04
176 1963 502734 9.312087e-02 7.150632e+02 753 2 9.420797e+02 1066 2.176451 6.86e-04
177 1695 466257 7.505894e-02 3.772986e+02 476 1 3.772986e+02 476 2.173650 7.02e-04
178 705 301542 5.438904e-02 6.440969e+02 433 2 1.340810e+03 884 2.162715 7.67e-04
179 1330 412404 9.377962e-02 4.110612e+02 387 2 5.919353e+02 609 2.161415 7.75e-04
180 3011 685929 7.912705e-02 3.029061e+02 277 1 3.029061e+02 277 2.150588 8.45e-04
181 2199 537907 5.270546e-02 6.974939e+02 501 2 9.458887e+02 701 2.148552 8.59e-04
182 2611 605575 1.189326e-01 2.441320e+02 290 1 2.441320e+02 290 2.147515 8.66e-04
183 999 356172 8.814802e-02 2.218085e+02 211 13 3.553309e+03 3511 2.144528 8.87e-04
184 207 182159 7.047489e-02 7.709930e+02 686 3 1.042284e+03 987 2.141867 9.06e-04
185 1752 473163 9.978324e-02 4.277590e+02 440 1 4.277590e+02 440 2.141524 9.09e-04
186 224 188954 6.585187e-02 5.808369e+02 473 1 5.808369e+02 473 2.127784 1.01e-03
187 1613 453731 1.405839e-01 2.070402e+02 336 1 2.070402e+02 336 2.119469 1.08e-03
188 225 189350 6.393528e-02 7.203008e+02 620 3 1.476932e+03 1266 2.115580 1.12e-03
189 1993 508184 5.266199e-02 3.385322e+02 150 3 1.291627e+03 822 2.112849 1.14e-03
190 1734 471317 1.300306e-01 1.887294e+02 306 1 1.887294e+02 306 2.112673 1.14e-03
191 2817 645200 1.032382e-01 3.788940e+02 387 1 3.788940e+02 387 2.110351 1.16e-03
192 1706 468072 5.174467e-02 6.683457e+02 591 4 1.675494e+03 1430 2.105835 1.20e-03
193 2099 524049 8.208655e-02 5.137987e+02 670 4 1.353652e+03 1508 2.104365 1.22e-03
194 2066 519751 1.022016e-01 2.582539e+02 250 1 2.582539e+02 250 2.101086 1.25e-03
195 2354 561533 9.754511e-02 4.140771e+02 403 1 4.140771e+02 403 2.100505 1.25e-03
196 496 259742 7.540603e-02 5.498635e+02 601 1 5.498635e+02 601 2.095705 1.30e-03
197 2708 625959 3.915173e-02 1.043889e+03 586 1 1.043889e+03 586 2.095468 1.31e-03
198 2260 547029 6.644412e-02 4.151505e+02 438 1 4.151505e+02 438 2.095048 1.31e-03
199 1595 451181 9.639978e-02 5.494054e+02 607 1 5.494054e+02 607 2.093979 1.32e-03
200 3060 694192 9.843411e-02 4.867234e+02 557 1 4.867234e+02 557 2.088634 1.38e-03
201 2629 610605 1.287131e-01 3.190852e+02 455 1 3.190852e+02 455 2.079202 1.48e-03
202 1892 492373 1.588162e-01 2.542807e+02 386 1 2.542807e+02 386 2.076945 1.51e-03
203 973 351579 8.286146e-02 5.943687e+02 462 2 9.101694e+02 762 2.074366 1.54e-03
204 1422 427187 1.217118e-01 5.363840e+02 550 3 9.038873e+02 1090 2.072563 1.56e-03
205 2285 550337 8.024782e-02 5.205699e+02 574 1 5.205699e+02 574 2.069662 1.59e-03
206 2524 588977 1.011361e-01 2.264433e+02 249 1 2.264433e+02 249 2.068831 1.60e-03
207 927 342126 9.455548e-02 5.734890e+02 662 3 1.075764e+03 1152 2.049347 1.86e-03
208 1530 441997 7.345602e-02 3.319493e+02 308 1 3.319493e+02 308 2.046866 1.89e-03
209 1103 376945 9.304651e-02 6.171432e+02 578 2 8.450120e+02 880 2.045608 1.91e-03
210 2056 517085 2.449760e-01 7.469915e+01 205 1 7.469915e+01 205 2.045474 1.91e-03
211 1945 500324 9.015537e-02 2.608377e+02 338 2 6.326492e+02 707 2.039178 2.01e-03
212 1721 469760 1.036437e-01 2.270581e+02 190 1 2.270581e+02 190 2.039103 2.01e-03
213 681 296709 7.571587e-02 6.981999e+02 534 1 6.981999e+02 534 2.036793 2.04e-03
214 2511 586836 1.370519e-01 1.772805e+02 241 1 1.772805e+02 241 2.035746 2.06e-03
215 2602 604280 7.478272e-02 3.393461e+02 296 2 7.716016e+02 877 2.032805 2.10e-03
216 2954 672207 1.633091e-01 1.705784e+02 220 1 1.705784e+02 220 2.031311 2.13e-03
217 2050 515398 4.605846e-02 1.342611e+03 815 6 4.274422e+03 2726 2.023623 2.25e-03
218 2695 624050 6.289504e-02 5.974336e+02 454 1 5.974336e+02 454 2.022070 2.28e-03
219 2885 659148 2.100302e-01 9.538510e+01 193 1 9.538510e+01 193 2.014493 2.41e-03
220 982 353328 8.135260e-02 8.962697e+02 942 1 8.962697e+02 942 2.013763 2.43e-03
221 318 216993 1.724472e-01 1.266944e+02 160 1 1.266944e+02 160 2.013368 2.43e-03
222 512 262460 1.307626e-01 2.918431e+02 341 1 2.918431e+02 341 2.004259 2.60e-03
223 847 327010 1.044799e-01 4.456483e+02 479 1 4.456483e+02 479 2.003217 2.62e-03
224 197 178030 1.531478e-01 1.277389e+02 186 1 1.277389e+02 186 2.002400 2.64e-03
225 959 349185 1.076619e-01 1.382774e+02 124 1 1.382774e+02 124 2.001907 2.65e-03
226 1022 360127 9.498716e-02 6.085112e+02 545 1 6.085112e+02 545 2.001847 2.65e-03
227 756 309769 9.835814e-02 1.577617e+02 116 1 1.577617e+02 116 2.000267 2.68e-03
228 104 137052 7.676350e-02 2.935154e+02 210 1 2.935154e+02 210 1.998133 2.72e-03
229 378 233051 1.274363e-01 4.083921e+02 484 1 4.083921e+02 484 1.997259 2.74e-03
230 1045 365032 1.464857e-01 1.568125e+02 189 1 1.568125e+02 189 1.994791 2.79e-03
231 1654 460592 1.194150e-01 3.173394e+02 322 1 3.173394e+02 322 1.988494 2.92e-03
232 3012 686147 1.023361e-01 4.680045e+02 524 1 4.680045e+02 524 1.985278 2.99e-03
233 622 284497 8.383404e-02 2.652951e+02 265 4 6.808553e+02 734 1.981927 3.07e-03
234 993 354970 5.925836e-02 1.615870e+03 1559 1 1.615870e+03 1559 1.980812 3.09e-03
235 866 329982 7.466783e-02 6.852086e+02 633 4 1.197452e+03 1072 1.974685 3.23e-03
236 1725 470571 7.445725e-02 4.558329e+02 327 3 1.145791e+03 1026 1.972023 3.29e-03
237 50 101070 8.735714e-02 7.164744e+02 848 3 1.335170e+03 1435 1.970530 3.33e-03
238 1862 488919 6.905204e-02 5.536194e+02 449 2 6.569109e+02 531 1.968451 3.38e-03
239 504 261303 7.952079e-02 7.450542e+02 615 2 8.635221e+02 700 1.967905 3.39e-03
240 1620 455085 6.831174e-02 7.408839e+02 747 1 7.408839e+02 747 1.963060 3.51e-03
241 2309 552942 5.806345e-02 8.370379e+02 719 4 2.617347e+03 2060 1.962693 3.52e-03
242 556 270862 7.814723e-02 3.275755e+02 393 1 3.275755e+02 393 1.962543 3.53e-03
243 1830 484234 4.407137e-02 1.453281e+03 863 1 1.453281e+03 863 1.958958 3.62e-03
244 1236 399566 6.343583e-02 1.216429e+03 848 1 1.216429e+03 848 1.957651 3.65e-03
245 956 348606 7.748921e-02 3.965599e+02 361 1 3.965599e+02 361 1.956423 3.69e-03
246 1393 421940 7.522768e-02 1.898742e+02 105 1 1.898742e+02 105 1.953690 3.76e-03
247 151 157135 9.351170e-02 6.554386e+02 702 4 1.371322e+03 1378 1.953225 3.77e-03
248 3032 689936 5.049735e-02 1.250262e+03 896 3 1.907819e+03 1449 1.952244 3.80e-03
249 2303 551989 1.176329e-01 2.349717e+02 350 1 2.349717e+02 350 1.951772 3.81e-03
250 1563 446050 1.604157e-01 6.022856e+01 65 1 6.022856e+01 65 1.950234 3.85e-03
251 2854 651316 6.372042e-02 1.221413e+03 1006 1 1.221413e+03 1006 1.948924 3.89e-03
252 599 279429 9.073249e-02 6.622983e+02 696 1 6.622983e+02 696 1.948821 3.89e-03
253 1275 404061 2.074856e-01 1.191078e+02 211 1 1.191078e+02 211 1.946908 3.95e-03
254 157 161061 1.016352e-01 4.714613e+02 516 2 7.545963e+02 828 1.945089 4.00e-03
255 272 203614 4.898358e-02 1.609141e+03 1236 2 2.915551e+03 2007 1.937357 4.23e-03
256 731 306397 1.001983e-01 4.492443e+02 495 1 4.492443e+02 495 1.936370 4.25e-03
257 3051 693026 1.126004e-01 4.140953e+02 477 4 7.434336e+02 738 1.932350 4.38e-03
258 910 337936 7.413958e-02 4.529023e+02 462 3 8.939159e+02 825 1.929919 4.45e-03
259 1402 423968 1.316433e-01 3.912069e+02 557 2 5.238923e+02 755 1.929000 4.48e-03
260 1046 365081 1.352178e-01 2.286318e+02 351 1 2.286318e+02 351 1.928863 4.49e-03
261 1541 443381 1.070118e-01 2.776396e+02 280 1 2.776396e+02 280 1.928752 4.49e-03
262 1145 383402 5.580687e-02 1.389246e+03 1099 2 1.632478e+03 1264 1.926100 4.58e-03
263 1566 446118 1.148322e-01 4.929724e+02 681 1 4.929724e+02 681 1.926015 4.58e-03
264 2182 535431 6.620626e-02 5.272870e+02 559 1 5.272870e+02 559 1.923025 4.68e-03
265 2317 554122 1.805740e-01 1.394693e+02 257 1 1.394693e+02 257 1.919503 4.79e-03
266 199 178375 1.055429e-01 1.864340e+02 198 4 9.036809e+02 1061 1.914112 4.98e-03
267 2076 521503 6.747270e-02 1.049163e+03 995 1 1.049163e+03 995 1.912932 5.02e-03
268 1449 430772 4.714250e-02 9.117291e+02 528 8 5.884096e+03 3851 1.912008 5.05e-03
269 477 254032 1.537672e-01 1.419813e+02 244 1 1.419813e+02 244 1.911105 5.09e-03
270 319 217419 7.918597e-02 3.473231e+02 320 1 3.473231e+02 320 1.908620 5.18e-03
271 1909 494591 8.544924e-02 5.401045e+02 384 7 2.810050e+03 2687 1.903597 5.36e-03
272 2003 509528 7.016087e-02 8.344570e+02 909 2 1.232102e+03 1378 1.901699 5.43e-03
273 195 176908 7.151865e-02 1.342989e+03 883 2 1.800445e+03 1395 1.899543 5.51e-03
274 185 173913 5.926780e-02 1.149204e+03 710 3 1.724740e+03 1181 1.898937 5.54e-03
275 362 227702 1.124381e-01 6.462502e+02 859 1 6.462502e+02 859 1.897835 5.58e-03
